DATE	DDURRG3M086SBEA	DFXARG3M086SBEA	DGDSRG3M086SBEA	DNDGRG3M086SBEA	DNRGRG3M086SBEA	DPCMRG3M086SBEA	DPCXRG3M086SBEA	DSERRG3M086SBEA	PCEPI	PCEPILFE
1959-01-01	56.918	16.498	26.329	17.791	8.509			11.326	16.042	16.688
1959-02-01	56.951	16.436	26.341	17.798	8.629			11.343	16.057	16.701
1959-03-01	57.022	16.404	26.336	17.785	8.636			11.363	16.068	16.719
1959-04-01	57.080	16.359	26.355	17.796	8.681			11.403	16.100	16.762
1959-05-01	57.175	16.322	26.345	17.777	8.661			11.421	16.109	16.783
1959-06-01	57.289	16.377	26.402	17.817	8.647			11.463	16.155	16.832
1959-07-01	57.316	16.406	26.426	17.835	8.638			11.504	16.189	16.871
1959-08-01	57.050	16.345	26.431	17.869	8.746			11.538	16.212	16.899
1959-09-01	57.147	16.420	26.493	17.916	8.717			11.572	16.255	16.943
1959-10-01	57.107	16.424	26.536	17.959	8.845			11.611	16.294	16.972
1959-11-01	57.152	16.353	26.508	17.929	8.860			11.641	16.304	17.003
1959-12-01	57.178	16.347	26.515	17.932	8.877			11.666	16.323	17.029
1960-01-01	57.056	16.322	26.469	17.903	8.838			11.676	16.314	17.033
1960-02-01	57.149	16.303	26.481	17.904	8.832			11.696	16.331	17.065
1960-03-01	56.982	16.388	26.496	17.937	8.783			11.703	16.340	17.067
1960-04-01	57.050	16.555	26.628	18.050	8.834			11.727	16.400	17.098
1960-05-01	57.044	16.555	26.619	18.042	8.821			11.758	16.417	17.125
1960-06-01	56.888	16.527	26.596	18.038	8.859			11.781	16.424	17.136
1960-07-01	56.894	16.525	26.628	18.067	8.929			11.810	16.453	17.166
1960-08-01	56.907	16.531	26.673	18.107	8.998			11.830	16.481	17.191
1960-09-01	56.658	16.541	26.654	18.117	8.989			11.855	16.491	17.204
1960-10-01	56.610	16.634	26.682	18.147	8.946			11.869	16.510	17.214
1960-11-01	56.981	16.696	26.797	18.211	9.033			11.897	16.565	17.260
1960-12-01	56.570	16.761	26.778	18.237	8.991			11.911	16.569	17.255
1961-01-01	56.706	16.739	26.790	18.233	9.016			11.910	16.571	17.259
1961-02-01	56.725	16.754	26.803	18.242	9.022			11.928	16.587	17.276
1961-03-01	56.759	16.730	26.764	18.203	8.951			11.932	16.578	17.282
1961-04-01	56.880	16.692	26.685	18.120	8.810			11.957	16.568	17.306
1961-05-01	57.015	16.614	26.682	18.104	8.864			11.972	16.577	17.328
1961-06-01	57.100	16.550	26.658	18.073	8.876			11.996	16.585	17.354
1961-07-01	57.144	16.593	26.728	18.131	8.937			12.016	16.621	17.381
1961-08-01	57.237	16.568	26.750	18.141	8.980			12.026	16.635	17.399
1961-09-01	57.393	16.531	26.752	18.126	8.990			12.054	16.654	17.434
1961-10-01	57.340	16.533	26.722	18.104	8.943			12.066	16.652	17.440
1961-11-01	57.072	16.502	26.692	18.106	8.978			12.083	16.653	17.443
1961-12-01	57.149	16.530	26.679	18.085	8.890			12.096	16.658	17.458
1962-01-01	57.100	16.606	26.705	18.114	8.914			12.130	16.689	17.478
1962-02-01	57.185	16.694	26.802	18.193	8.979			12.151	16.734	17.507
1962-03-01	57.300	16.736	26.824	18.200	8.865			12.173	16.756	17.548
1962-04-01	57.200	16.744	26.859	18.244	8.981			12.185	16.775	17.551
1962-05-01	57.214	16.712	26.834	18.219	8.971			12.213	16.786	17.576
1962-06-01	57.393	16.694	26.821	18.187	8.900			12.236	16.796	17.608
1962-07-01	57.436	16.638	26.766	18.132	8.823			12.248	16.787	17.623
1962-08-01	57.443	16.693	26.820	18.181	8.918			12.259	16.811	17.626
1962-09-01	57.492	16.892	27.056	18.392	9.086			12.268	16.894	17.660
1962-10-01	57.225	16.839	26.972	18.346	9.032			12.282	16.876	17.659
1962-11-01	57.246	16.854	26.971	18.342	9.038			12.302	16.889	17.672
1962-12-01	57.224	16.745	26.923	18.300	9.099			12.315	16.882	17.677
1963-01-01	57.140	16.892	26.982	18.366	9.034			12.349	16.923	17.711
1963-02-01	57.265	16.918	27.014	18.381	9.025			12.360	16.941	17.731
1963-03-01	57.344	16.845	26.961	18.322	8.963			12.366	16.928	17.742
1963-04-01	57.354	16.767	26.937	18.298	8.944			12.377	16.927	17.763
1963-05-01	57.391	16.763	26.967	18.322	8.979			12.403	16.954	17.795
1963-06-01	57.530	16.923	27.062	18.394	8.883			12.413	16.991	17.826
1963-07-01	57.485	16.987	27.137	18.470	8.966			12.427	17.025	17.842
1963-08-01	57.456	16.993	27.182	18.516	9.047			12.439	17.048	17.858
1963-09-01	57.818	16.929	27.140	18.432	8.926			12.455	17.044	17.890
1963-10-01	57.825	16.908	27.177	18.466	8.986			12.487	17.078	17.930
1963-11-01	57.734	16.997	27.210	18.508	8.960			12.507	17.102	17.947
1963-12-01	57.746	17.033	27.264	18.557	8.973			12.520	17.127	17.972
1964-01-01	57.800	17.156	27.337	18.619	8.943			12.538	17.163	17.997
1964-02-01	57.917	17.159	27.358	18.624	8.938			12.565	17.188	18.031
1964-03-01	57.837	17.160	27.342	18.620	8.921			12.588	17.198	18.048
1964-04-01	57.863	17.173	27.351	18.625	8.916			12.604	17.211	18.065
1964-05-01	57.799	17.136	27.311	18.595	8.889			12.626	17.213	18.080
1964-06-01	57.793	17.217	27.350	18.632	8.897			12.643	17.237	18.093
1964-07-01	57.826	17.270	27.387	18.663	8.896			12.658	17.259	18.111
1964-08-01	57.742	17.261	27.362	18.650	8.881			12.692	17.273	18.135
1964-09-01	57.700	17.362	27.416	18.707	8.907			12.705	17.299	18.143
1964-10-01	57.559	17.375	27.410	18.719	8.935			12.724	17.310	18.149
1964-11-01	57.657	17.390	27.456	18.750	8.952			12.738	17.334	18.176
1964-12-01	57.706	17.399	27.494	18.779	8.988			12.757	17.359	18.201
1965-01-01	57.677	17.365	27.512	18.800	9.041			12.777	17.378	18.226
1965-02-01	57.645	17.317	27.495	18.787	9.036			12.797	17.385	18.248
1965-03-01	57.627	17.379	27.538	18.831	9.071			12.810	17.408	18.258
1965-04-01	57.581	17.439	27.583	18.882	9.081			12.829	17.435	18.280
1965-05-01	57.636	17.528	27.654	18.943	9.081			12.853	17.474	18.314
1965-06-01	57.193	17.831	27.786	19.127	9.109			12.866	17.525	18.309
1965-07-01	57.150	17.837	27.782	19.130	9.099			12.887	17.538	18.327
1965-08-01	57.205	17.712	27.740	19.083	9.097			12.914	17.542	18.362
1965-09-01	57.196	17.648	27.706	19.051	9.116			12.943	17.550	18.384
1965-10-01	56.738	17.669	27.678	19.086	9.175			12.967	17.556	18.377
1965-11-01	56.752	17.702	27.706	19.111	9.165			12.998	17.585	18.411
1965-12-01	57.116	17.815	27.846	19.197	9.198			13.025	17.649	18.467
1966-01-01	56.662	17.917	27.856	19.269	9.192			13.052	17.670	18.473
1966-02-01	56.866	18.173	28.022	19.402	9.175			13.080	17.743	18.518
1966-03-01	56.852	18.321	28.111	19.492	9.183			13.101	17.786	18.542
1966-04-01	57.012	18.405	28.200	19.556	9.184			13.151	17.848	18.608
1966-05-01	57.021	18.299	28.182	19.537	9.211			13.194	17.870	18.657
1966-06-01	57.077	18.301	28.216	19.562	9.210			13.246	17.915	18.718
1966-07-01	57.247	18.238	28.253	19.575	9.245			13.280	17.949	18.773
1966-08-01	57.294	18.494	28.402	19.712	9.256			13.310	18.018	18.807
1966-09-01	57.327	18.543	28.476	19.780	9.309			13.361	18.075	18.865
1966-10-01	57.418	18.541	28.514	19.805	9.327			13.414	18.123	18.927
1966-11-01	57.472	18.479	28.528	19.811	9.346			13.449	18.150	18.975
1966-12-01	57.764	18.437	28.580	19.821	9.361			13.480	18.187	19.032
1967-01-01	57.482	18.337	28.524	19.805	9.395			13.510	18.188	19.050
1967-02-01	57.392	18.308	28.521	19.815	9.403			13.544	18.209	19.084
1967-03-01	57.420	18.254	28.510	19.801	9.385			13.565	18.220	19.113
1967-04-01	57.573	18.161	28.523	19.792	9.438			13.604	18.249	19.165
1967-05-01	57.707	18.189	28.573	19.823	9.430			13.632	18.285	19.208
1967-06-01	57.772	18.321	28.661	19.899	9.443			13.678	18.343	19.257
1967-07-01	58.102	18.397	28.793	19.982	9.451			13.706	18.405	19.322
1967-08-01	58.329	18.474	28.903	20.057	9.465			13.740	18.463	19.382
1967-09-01	58.529	18.453	28.976	20.101	9.534			13.789	18.519	19.450
1967-10-01	58.831	18.485	29.045	20.126	9.481			13.833	18.570	19.523
1967-11-01	59.010	18.517	29.147	20.201	9.561			13.875	18.632	19.585
1967-12-01	58.886	18.534	29.145	20.216	9.498			13.922	18.661	19.633
1968-01-01	59.159	18.631	29.292	20.321	9.551			13.980	18.748	19.720
1968-02-01	59.283	18.705	29.393	20.403	9.569			14.047	18.824	19.805
1968-03-01	59.430	18.734	29.459	20.446	9.559			14.107	18.886	19.884
1968-04-01	59.533	18.795	29.541	20.512	9.524			14.156	18.945	19.957
1968-05-01	59.659	18.857	29.645	20.596	9.558			14.212	19.015	20.033
1968-06-01	59.765	18.850	29.707	20.642	9.590			14.273	19.075	20.111
1968-07-01	59.941	18.905	29.791	20.700	9.592			14.320	19.134	20.178
1968-08-01	60.129	18.978	29.914	20.794	9.659			14.378	19.212	20.257
1968-09-01	60.377	19.048	30.006	20.848	9.623			14.435	19.279	20.339
1968-10-01	60.583	19.179	30.140	20.951	9.642			14.497	19.364	20.422
1968-11-01	60.820	19.211	30.236	21.010	9.673			14.549	19.430	20.498
1968-12-01	60.690	19.215	30.238	21.031	9.625			14.610	19.470	20.560
1969-01-01	60.797	19.282	30.337	21.114	9.687			14.676	19.546	20.638
1969-02-01	61.032	19.250	30.387	21.129	9.706			14.726	19.595	20.709
1969-03-01	61.329	19.309	30.522	21.219	9.794			14.800	19.687	20.805
1969-04-01	61.442	19.425	30.659	21.339	9.863			14.863	19.774	20.886
1969-05-01	61.467	19.543	30.747	21.422	9.860			14.941	19.854	20.969
1969-06-01	61.620	19.774	30.934	21.586	9.904			14.994	19.950	21.041
1969-07-01	61.725	19.891	31.048	21.683	9.881			15.071	20.037	21.139
1969-08-01	61.834	19.953	31.111	21.729	9.895			15.125	20.093	21.199
1969-09-01	61.852	20.080	31.219	21.834	9.897			15.197	20.176	21.284
1969-10-01	62.117	20.075	31.278	21.853	9.918			15.273	20.245	21.375
1969-11-01	62.224	20.263	31.418	21.976	9.894			15.336	20.332	21.457
1969-12-01	62.213	20.442	31.551	22.109	9.940			15.412	20.426	21.537
1970-01-01	62.198	20.582	31.641	22.200	9.926			15.478	20.499	21.608
1970-02-01	62.289	20.680	31.753	22.297	9.965			15.547	20.580	21.691
1970-03-01	62.388	20.706	31.762	22.292	9.871			15.619	20.631	21.772
1970-04-01	62.441	20.775	31.924	22.443	10.098			15.697	20.736	21.857
1970-05-01	62.546	20.860	31.988	22.491	10.068			15.765	20.802	21.934
1970-06-01	62.622	20.855	32.020	22.511	10.039			15.831	20.856	22.014
1970-07-01	62.808	20.897	32.124	22.586	10.097			15.895	20.932	22.098
1970-08-01	62.979	20.949	32.169	22.605	10.025			15.956	20.987	22.174
1970-09-01	63.201	21.045	32.309	22.710	10.103			16.030	21.081	22.267
1970-10-01	63.616	21.096	32.465	22.803	10.220			16.111	21.185	22.376
1970-11-01	64.081	21.034	32.551	22.822	10.285			16.194	21.269	22.492
1970-12-01	64.436	21.045	32.661	22.879	10.355			16.282	21.363	22.605
1971-01-01	64.784	20.880	32.671	22.839	10.401			16.345	21.408	22.694
1971-02-01	64.994	20.918	32.722	22.857	10.344			16.415	21.471	22.780
1971-03-01	65.076	21.037	32.800	22.921	10.333			16.484	21.542	22.853
1971-04-01	65.270	21.219	32.926	23.017	10.277			16.549	21.626	22.939
1971-05-01	65.412	21.306	33.036	23.104	10.296			16.632	21.717	23.039
1971-06-01	65.558	21.446	33.166	23.212	10.347			16.713	21.813	23.129
1971-07-01	65.711	21.473	33.206	23.228	10.319			16.793	21.879	23.218
1971-08-01	65.227	21.515	33.239	23.334	10.568			16.872	21.942	23.251
1971-09-01	64.865	21.508	33.225	23.377	10.607			16.928	21.975	23.289
1971-10-01	64.816	21.541	33.250	23.411	10.621			16.967	22.009	23.326
1971-11-01	64.874	21.603	33.281	23.433	10.597			17.020	22.054	23.379
1971-12-01	65.107	21.786	33.424	23.542	10.631			17.081	22.141	23.452
1972-01-01	65.443	21.934	33.558	23.625	10.582			17.153	22.232	23.552
1972-02-01	65.481	22.211	33.704	23.768	10.574			17.214	22.319	23.615
1972-03-01	65.554	22.174	33.707	23.760	10.594			17.260	22.351	23.662
1972-04-01	65.757	22.164	33.728	23.749	10.556			17.301	22.386	23.717
1972-05-01	65.848	22.169	33.779	23.786	10.608			17.350	22.434	23.772
1972-06-01	65.880	22.200	33.783	23.785	10.565			17.400	22.469	23.819
1972-07-01	66.009	22.325	33.901	23.883	10.641			17.464	22.549	23.888
1972-08-01	66.159	22.422	33.986	23.945	10.749			17.522	22.615	23.938
1972-09-01	66.324	22.580	34.185	24.122	10.882			17.577	22.716	24.018
1972-10-01	65.876	22.653	34.171	24.181	10.914			17.623	22.741	24.032
1972-11-01	65.918	22.750	34.254	24.258	10.958			17.685	22.809	24.095
1972-12-01	66.062	22.867	34.357	24.339	10.965			17.745	22.882	24.168
1973-01-01	66.060	23.200	34.529	24.516	11.032			17.765	22.951	24.183
1973-02-01	66.259	23.535	34.774	24.736	11.145			17.827	23.072	24.259
1973-03-01	66.356	24.118	35.119	25.080	11.186			17.904	23.235	24.357
1973-04-01	66.619	24.470	35.417	25.345	11.316			18.020	23.408	24.498
1973-05-01	66.765	24.713	35.599	25.510	11.380			18.104	23.523	24.593
1973-06-01	66.856	24.938	35.812	25.717	11.556			18.203	23.658	24.699
1973-07-01	66.998	24.968	35.874	25.757	11.571			18.303	23.744	24.805
1973-08-01	67.091	26.242	36.479	26.371	11.608			18.420	24.017	24.921
1973-09-01	67.139	26.250	36.506	26.391	11.607			18.551	24.113	25.046
1973-10-01	67.133	26.358	36.719	26.615	11.966			18.651	24.249	25.143
1973-11-01	67.323	26.701	37.114	26.993	12.415			18.759	24.448	25.264
1973-12-01	67.415	26.934	37.448	27.324	12.897			18.900	24.649	25.404
1974-01-01	67.693	27.331	37.950	27.798	13.582			19.012	24.885	25.529
1974-02-01	67.970	28.011	38.566	28.391	14.156			19.150	25.175	25.692
1974-03-01	68.444	28.451	39.151	28.917	14.812			19.307	25.467	25.892
1974-04-01	68.916	28.459	39.429	29.125	15.057			19.443	25.647	26.086
1974-05-01	69.641	28.644	39.871	29.460	15.348			19.610	25.900	26.337
1974-06-01	70.717	28.660	40.214	29.631	15.436			19.774	26.119	26.607
1974-07-01	71.661	28.650	40.555	29.822	15.554			19.900	26.312	26.843
1974-08-01	72.322	29.163	41.076	30.251	15.612			20.062	26.587	27.101
1974-09-01	73.265	29.772	41.596	30.628	15.663			20.228	26.863	27.345
1974-10-01	74.209	30.055	41.938	30.823	15.593			20.353	27.056	27.559
1974-11-01	74.680	30.407	42.274	31.090	15.607			20.498	27.259	27.760
1974-12-01	75.153	30.810	42.614	31.360	15.694			20.659	27.474	27.956
1975-01-01	75.241	30.955	42.768	31.502	15.904			20.836	27.645	28.119
1975-02-01	75.802	30.897	42.914	31.560	15.962			20.988	27.795	28.318
1975-03-01	76.506	30.725	43.008	31.540	16.009			21.083	27.889	28.466
1975-04-01	77.121	30.574	43.088	31.522	16.099			21.185	27.984	28.604
1975-05-01	77.165	30.598	43.168	31.597	16.225			21.310	28.095	28.725
1975-06-01	77.356	30.859	43.420	31.823	16.484			21.452	28.271	28.866
1975-07-01	77.708	31.304	43.863	32.222	16.843			21.605	28.514	29.044
1975-08-01	78.043	31.501	44.086	32.396	17.000			21.683	28.637	29.144
1975-09-01	78.430	31.475	44.191	32.440	17.204			21.843	28.779	29.302
1975-10-01	78.803	31.750	44.454	32.649	17.354			21.967	28.946	29.448
1975-11-01	79.158	31.923	44.635	32.778	17.464			22.154	29.132	29.643
1975-12-01	79.822	32.046	44.842	32.878	17.521			22.294	29.293	29.823
1976-01-01	80.180	32.024	44.954	32.933	17.509			22.405	29.405	29.976
1976-02-01	80.389	31.651	44.853	32.790	17.492			22.507	29.442	30.095
1976-03-01	80.426	31.463	44.780	32.706	17.443			22.604	29.486	30.195
1976-04-01	80.912	31.377	44.821	32.663	17.361			22.684	29.553	30.312
1976-05-01	81.310	31.498	45.030	32.812	17.486			22.794	29.695	30.456
1976-06-01	81.449	31.589	45.183	32.948	17.673			22.913	29.824	30.579
1976-07-01	81.890	31.706	45.376	33.073	17.725			23.046	29.975	30.748
1976-08-01	82.035	31.865	45.537	33.216	17.796			23.214	30.140	30.925
1976-09-01	82.695	31.974	45.784	33.358	17.931			23.349	30.310	31.106
1976-10-01	83.408	32.097	46.055	33.515	18.138			23.457	30.469	31.258
1976-11-01	83.558	32.117	46.210	33.650	18.354			23.589	30.607	31.401
1976-12-01	83.826	32.214	46.375	33.775	18.579			23.764	30.778	31.571
1977-01-01	84.432	32.298	46.632	33.935	18.738			23.907	30.957	31.763
1977-02-01	84.401	32.833	47.035	34.369	18.902			24.077	31.199	31.958
1977-03-01	84.531	33.041	47.165	34.483	19.102			24.246	31.356	32.094
1977-04-01	84.620	33.455	47.385	34.701	19.145			24.413	31.538	32.253
1977-05-01	84.900	33.643	47.613	34.893	19.217			24.542	31.698	32.417
1977-06-01	85.133	33.871	47.826	35.077	19.204			24.704	31.875	32.611
1977-07-01	85.536	33.916	47.987	35.172	19.246			24.873	32.041	32.813
1977-08-01	85.817	34.018	48.128	35.270	19.346			25.027	32.190	32.973
1977-09-01	85.946	34.046	48.195	35.317	19.432			25.173	32.311	33.113
1977-10-01	86.439	34.100	48.413	35.456	19.590			25.293	32.461	33.273
1977-11-01	86.802	34.347	48.703	35.699	19.770			25.434	32.648	33.445
1977-12-01	87.501	34.478	48.961	35.841	19.832			25.546	32.806	33.618
1978-01-01	87.856	34.800	49.170	35.998	19.805			25.734	33.000	33.819
1978-02-01	88.079	35.167	49.277	36.071	19.848			25.909	33.153	33.949
1978-03-01	88.544	35.618	49.622	36.352	19.963			26.066	33.368	34.133
1978-04-01	88.984	36.205	50.013	36.689	20.015			26.256	33.621	34.354
1978-05-01	89.499	36.769	50.414	37.023	20.117			26.424	33.861	34.556
1978-06-01	90.030	37.293	50.777	37.312	20.159			26.580	34.082	34.749
1978-07-01	90.450	37.437	51.007	37.479	20.240			26.748	34.269	34.953
1978-08-01	90.975	37.504	51.214	37.600	20.393			26.906	34.442	35.141
1978-09-01	91.438	37.638	51.456	37.771	20.581			27.083	34.638	35.343
1978-10-01	92.040	37.902	51.819	38.047	20.917			27.319	34.913	35.603
1978-11-01	92.574	38.093	52.121	38.269	21.130			27.471	35.112	35.794
1978-12-01	93.024	38.280	52.381	38.463	21.399			27.592	35.276	35.934
1979-01-01	93.339	39.039	52.883	38.945	21.622			27.750	35.542	36.118
1979-02-01	94.142	39.630	53.353	39.296	21.816			27.813	35.732	36.235
1979-03-01	94.666	39.920	53.861	39.742	22.470			27.988	36.011	36.444
1979-04-01	95.407	40.127	54.400	40.179	23.200			28.290	36.386	36.780
1979-05-01	95.713	40.405	54.913	40.672	23.975			28.607	36.763	37.100
1979-06-01	95.991	40.522	55.395	41.134	25.043			28.829	37.066	37.308
1979-07-01	96.390	40.718	55.907	41.606	26.004			29.008	37.349	37.495
1979-08-01	96.774	40.588	56.277	41.930	26.944			29.257	37.635	37.744
1979-09-01	97.242	40.867	56.799	42.402	27.785			29.504	37.967	38.002
1979-10-01	97.857	41.164	57.227	42.742	28.277			29.761	38.276	38.279
1979-11-01	98.564	41.436	57.685	43.096	28.627			29.940	38.542	38.524
1979-12-01	99.218	41.770	58.191	43.512	29.204			30.183	38.866	38.801
1980-01-01	100.258	41.983	59.032	44.214	30.527			30.395	39.273	39.095
1980-02-01	101.492	41.942	59.679	44.672	31.666			30.722	39.699	39.485
1980-03-01	102.555	42.375	60.592	45.441	32.947			31.020	40.186	39.851
1980-04-01	103.234	42.668	60.898	45.641	33.073			31.187	40.396	40.056
1980-05-01	103.779	42.991	61.224	45.885	33.273			31.495	40.710	40.378
1980-06-01	104.476	43.272	61.529	46.082	33.385			31.730	40.967	40.646
1980-07-01	104.739	43.862	61.920	46.444	33.552			32.012	41.285	40.932
1980-08-01	105.736	44.641	62.491	46.865	33.676			32.256	41.629	41.228
1980-09-01	106.692	45.220	62.986	47.215	33.749			32.590	42.014	41.616
1980-10-01	106.945	45.585	63.325	47.524	33.953			32.923	42.351	41.959
1980-11-01	107.683	46.113	63.766	47.856	34.135			33.223	42.696	42.289
1980-12-01	107.974	46.412	64.125	48.182	34.498			33.462	42.973	42.544
1981-01-01	108.478	46.478	64.644	48.638	35.540			33.826	43.386	42.912
1981-02-01	109.016	46.604	65.423	49.361	37.167			34.114	43.825	43.226
1981-03-01	109.207	46.835	65.876	49.806	37.994			34.353	44.130	43.466
1981-04-01	110.161	46.789	66.012	49.776	37.799			34.569	44.323	43.744
1981-05-01	111.080	46.681	66.117	49.725	37.579			34.807	44.522	44.045
1981-06-01	111.619	46.794	66.251	49.770	37.499			35.003	44.699	44.265
1981-07-01	112.122	47.176	66.512	49.955	37.615			35.274	44.969	44.532
1981-08-01	112.575	47.393	66.767	50.141	37.785			35.564	45.250	44.830
1981-09-01	113.085	47.543	67.052	50.350	38.006			35.832	45.524	45.124
1981-10-01	113.651	47.439	67.205	50.412	38.086			36.059	45.730	45.393
1981-11-01	114.110	47.416	67.339	50.473	38.457			36.349	45.976	45.658
1981-12-01	114.418	47.469	67.467	50.553	38.484			36.496	46.118	45.826
1982-01-01	114.849	47.772	67.657	50.679	38.622			36.803	46.392	46.108
1982-02-01	115.062	48.062	67.797	50.787	38.289			36.941	46.531	46.286
1982-03-01	115.145	47.930	67.704	50.676	38.078			37.151	46.651	46.488
