DATE,MEDDAYONMARUS
2016-07-01,69.0
2016-08-01,74.0
2016-09-01,78.0
2016-10-01,79.0
2016-11-01,83.0
2016-12-01,92.0
2017-01-01,96.0
2017-02-01,92.0
2017-03-01,70.0
2017-04-01,65.0
2017-05-01,61.0
2017-06-01,61.0
2017-07-01,65.0
2017-08-01,67.0
2017-09-01,71.0
2017-10-01,75.0
2017-11-01,78.0
2017-12-01,85.0
2018-01-01,91.0
2018-02-01,85.0
2018-03-01,65.0
2018-04-01,60.0
2018-05-01,57.0
2018-06-01,57.0
2018-07-01,60.0
2018-08-01,63.0
2018-09-01,66.0
2018-10-01,69.0
2018-11-01,72.0
2018-12-01,81.0
2019-01-01,87.0
2019-02-01,83.0
2019-03-01,66.0
2019-04-01,59.0
2019-05-01,56.0
2019-06-01,58.0
2019-07-01,60.0
2019-08-01,71.0
2019-09-01,77.0
2019-10-01,70.0
2019-11-01,72.0
2019-12-01,83.0
2020-01-01,88.0
2020-02-01,82.0
2020-03-01,61.0
2020-04-01,66.0
2020-05-01,73.0
2020-06-01,71.0
2020-07-01,59.0
2020-08-01,56.0
2020-09-01,54.0
2020-10-01,54.0
2020-11-01,59.0
2020-12-01,67.0
2021-01-01,72.0
2021-02-01,65.0
2021-03-01,49.0
2021-04-01,40.0
2021-05-01,37.0
2021-06-01,36.0
2021-07-01,36.0
2021-08-01,38.0
2021-09-01,43.0
2021-10-01,44.0
2021-11-01,48.0
2021-12-01,56.0
2022-01-01,61.0
2022-02-01,44.0
2022-03-01,36.0
2022-04-01,32.0
2022-05-01,30.0
2022-06-01,31.0
2022-07-01,35.0
2022-08-01,43.0
2022-09-01,49.0
2022-10-01,51.0
2022-11-01,56.0
2022-12-01,66.0
2023-01-01,74.0
2023-02-01,67.0
2023-03-01,54.0
2023-04-01,49.0
