"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-01","Jan-1950","IDX","Index","0","Units",,,101.1178,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-02","Feb-1950","IDX","Index","0","Units",,,101.6713,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-03","Mar-1950","IDX","Index","0","Units",,,102.4091,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-04","Apr-1950","IDX","Index","0","Units",,,103.4604,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-05","May-1950","IDX","Index","0","Units",,,104.5201,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-06","Jun-1950","IDX","Index","0","Units",,,105.1437,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-07","Jul-1950","IDX","Index","0","Units",,,105.1672,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-08","Aug-1950","IDX","Index","0","Units",,,104.5106,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-09","Sep-1950","IDX","Index","0","Units",,,103.3556,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-10","Oct-1950","IDX","Index","0","Units",,,102.4211,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-11","Nov-1950","IDX","Index","0","Units",,,102.3913,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-12","Dec-1950","IDX","Index","0","Units",,,102.8536,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-01","Jan-1951","IDX","Index","0","Units",,,103.2036,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-02","Feb-1951","IDX","Index","0","Units",,,103.0794,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-03","Mar-1951","IDX","Index","0","Units",,,102.1693,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-04","Apr-1951","IDX","Index","0","Units",,,100.672,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-05","May-1951","IDX","Index","0","Units",,,99.35421,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-06","Jun-1951","IDX","Index","0","Units",,,98.35706,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-07","Jul-1951","IDX","Index","0","Units",,,97.88538,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-08","Aug-1951","IDX","Index","0","Units",,,98.03872,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-09","Sep-1951","IDX","Index","0","Units",,,98.52036,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-10","Oct-1951","IDX","Index","0","Units",,,98.8205,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-11","Nov-1951","IDX","Index","0","Units",,,98.74384,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-12","Dec-1951","IDX","Index","0","Units",,,98.44595,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-01","Jan-1952","IDX","Index","0","Units",,,97.9716,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-02","Feb-1952","IDX","Index","0","Units",,,97.39561,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-03","Mar-1952","IDX","Index","0","Units",,,96.89355,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-04","Apr-1952","IDX","Index","0","Units",,,96.66721,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-05","May-1952","IDX","Index","0","Units",,,97.04299,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-06","Jun-1952","IDX","Index","0","Units",,,97.95808,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-07","Jul-1952","IDX","Index","0","Units",,,99.21265,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-08","Aug-1952","IDX","Index","0","Units",,,100.4071,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-09","Sep-1952","IDX","Index","0","Units",,,100.8089,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-10","Oct-1952","IDX","Index","0","Units",,,100.8723,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-11","Nov-1952","IDX","Index","0","Units",,,100.8715,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1952-12","Dec-1952","IDX","Index","0","Units",,,100.8605,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-01","Jan-1953","IDX","Index","0","Units",,,100.8076,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-02","Feb-1953","IDX","Index","0","Units",,,100.3829,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-03","Mar-1953","IDX","Index","0","Units",,,99.81798,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-04","Apr-1953","IDX","Index","0","Units",,,99.43409,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-05","May-1953","IDX","Index","0","Units",,,99.10754,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-06","Jun-1953","IDX","Index","0","Units",,,98.78838,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-07","Jul-1953","IDX","Index","0","Units",,,98.33346,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-08","Aug-1953","IDX","Index","0","Units",,,97.73584,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-09","Sep-1953","IDX","Index","0","Units",,,97.08633,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-10","Oct-1953","IDX","Index","0","Units",,,96.54307,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-11","Nov-1953","IDX","Index","0","Units",,,96.24084,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-12","Dec-1953","IDX","Index","0","Units",,,96.20634,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-01","Jan-1954","IDX","Index","0","Units",,,96.54828,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-02","Feb-1954","IDX","Index","0","Units",,,97.20024,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-03","Mar-1954","IDX","Index","0","Units",,,97.98254,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-04","Apr-1954","IDX","Index","0","Units",,,98.69039,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-05","May-1954","IDX","Index","0","Units",,,99.20879,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-06","Jun-1954","IDX","Index","0","Units",,,99.47751,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-07","Jul-1954","IDX","Index","0","Units",,,99.51103,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-08","Aug-1954","IDX","Index","0","Units",,,99.57842,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-09","Sep-1954","IDX","Index","0","Units",,,100.0801,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-10","Oct-1954","IDX","Index","0","Units",,,100.7849,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-11","Nov-1954","IDX","Index","0","Units",,,101.4281,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-12","Dec-1954","IDX","Index","0","Units",,,102.0598,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-01","Jan-1955","IDX","Index","0","Units",,,102.5373,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-02","Feb-1955","IDX","Index","0","Units",,,103.0142,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-03","Mar-1955","IDX","Index","0","Units",,,103.2835,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-04","Apr-1955","IDX","Index","0","Units",,,103.3777,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-05","May-1955","IDX","Index","0","Units",,,103.2317,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-06","Jun-1955","IDX","Index","0","Units",,,102.8582,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-07","Jul-1955","IDX","Index","0","Units",,,102.6728,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-08","Aug-1955","IDX","Index","0","Units",,,102.4773,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-09","Sep-1955","IDX","Index","0","Units",,,102.295,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-10","Oct-1955","IDX","Index","0","Units",,,102.2525,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-11","Nov-1955","IDX","Index","0","Units",,,102.2239,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-12","Dec-1955","IDX","Index","0","Units",,,102.1643,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-01","Jan-1956","IDX","Index","0","Units",,,101.7577,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-02","Feb-1956","IDX","Index","0","Units",,,101.2836,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-03","Mar-1956","IDX","Index","0","Units",,,100.8129,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-04","Apr-1956","IDX","Index","0","Units",,,100.2329,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-05","May-1956","IDX","Index","0","Units",,,99.49416,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-06","Jun-1956","IDX","Index","0","Units",,,98.89854,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-07","Jul-1956","IDX","Index","0","Units",,,98.784,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-08","Aug-1956","IDX","Index","0","Units",,,99.3352,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-09","Sep-1956","IDX","Index","0","Units",,,99.9129,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-10","Oct-1956","IDX","Index","0","Units",,,100.1402,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-11","Nov-1956","IDX","Index","0","Units",,,100.2219,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-12","Dec-1956","IDX","Index","0","Units",,,100.0893,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-01","Jan-1957","IDX","Index","0","Units",,,99.83449,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-02","Feb-1957","IDX","Index","0","Units",,,99.32663,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-03","Mar-1957","IDX","Index","0","Units",,,98.66903,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-04","Apr-1957","IDX","Index","0","Units",,,98.12372,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-05","May-1957","IDX","Index","0","Units",,,97.98402,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-06","Jun-1957","IDX","Index","0","Units",,,98.13295,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-07","Jul-1957","IDX","Index","0","Units",,,98.25029,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-08","Aug-1957","IDX","Index","0","Units",,,98.2243,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-09","Sep-1957","IDX","Index","0","Units",,,97.98959,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-10","Oct-1957","IDX","Index","0","Units",,,97.4633,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-11","Nov-1957","IDX","Index","0","Units",,,96.89209,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-12","Dec-1957","IDX","Index","0","Units",,,96.32412,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-01","Jan-1958","IDX","Index","0","Units",,,96.02335,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-02","Feb-1958","IDX","Index","0","Units",,,96.23002,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-03","Mar-1958","IDX","Index","0","Units",,,96.69883,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-04","Apr-1958","IDX","Index","0","Units",,,97.34458,,
