#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,
Dataset: Composite Leading Indicators (MEI),,,,,,,,,,
Country,,United States,,,,,,,,
Frequency,,Monthly,,,,,,,,
Subject,,Amplitude adjusted (CLI),Normalised (CLI),Trend restored (CLI),12-month rate of change of the trend restored CLI,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",Ratio to trend (GDP),Normalised (GDP),Trend (GDP)
Unit,,Index,Index,Index,Percentage,Index,Index,Index,Index,Index
Time,,,,,,,,,,
Feb-1947,,..,..,..,..,..,..,102.7 ,102.3 ,11.4 
Mar-1947,,..,..,..,..,..,..,102.2 ,101.9 ,11.4 
Apr-1947,,..,..,..,..,..,..,101.8 ,101.5 ,11.5 
May-1947,,..,..,..,..,..,..,101.3 ,101.2 ,11.5 
Jun-1947,,..,..,..,..,..,..,101.0 ,100.9 ,11.5 
Jul-1947,,..,..,..,..,..,..,100.7 ,100.6 ,11.6 
Aug-1947,,..,..,..,..,..,..,100.5 ,100.5 ,11.6 
Sep-1947,,..,..,..,..,..,..,100.4 ,100.4 ,11.7 
Oct-1947,,..,..,..,..,..,..,100.4 ,100.4 ,11.7 
Nov-1947,,..,..,..,..,..,..,100.5 ,100.5 ,11.8 
Dec-1947,,..,..,..,..,..,..,100.7 ,100.6 ,11.8 
Jan-1948,,..,..,..,..,..,..,100.9 ,100.8 ,11.8 
Feb-1948,,..,..,..,..,..,..,101.0 ,100.9 ,11.9 
Mar-1948,,..,..,..,..,..,..,101.2 ,101.0 ,11.9 
Apr-1948,,..,..,..,..,..,..,101.3 ,101.1 ,12.0 
May-1948,,..,..,..,..,..,..,101.4 ,101.2 ,12.0 
Jun-1948,,..,..,..,..,..,..,101.3 ,101.2 ,12.1 
Jul-1948,,..,..,..,..,..,..,101.2 ,101.0 ,12.1 
Aug-1948,,..,..,..,..,..,..,100.9 ,100.8 ,12.1 
Sep-1948,,..,..,..,..,..,..,100.6 ,100.6 ,12.2 
Oct-1948,,..,..,..,..,..,..,100.2 ,100.2 ,12.2 
Nov-1948,,..,..,..,..,..,..,99.7 ,99.7 ,12.3 
Dec-1948,,..,..,..,..,..,..,99.0 ,99.2 ,12.3 
Jan-1949,,..,..,..,..,..,..,98.4 ,98.7 ,12.4 
Feb-1949,,..,..,..,..,..,..,97.8 ,98.2 ,12.4 
Mar-1949,,..,..,..,..,..,..,97.2 ,97.7 ,12.5 
Apr-1949,,..,..,..,..,..,..,96.7 ,97.2 ,12.5 
May-1949,,..,..,..,..,..,..,96.3 ,96.9 ,12.6 
Jun-1949,,..,..,..,..,..,..,95.9 ,96.6 ,12.6 
Jul-1949,,..,..,..,..,..,..,95.6 ,96.3 ,12.7 
Aug-1949,,..,..,..,..,..,..,95.3 ,96.1 ,12.7 
Sep-1949,,..,..,..,..,..,..,95.1 ,95.9 ,12.8 
Oct-1949,,..,..,..,..,..,..,95.0 ,95.8 ,12.8 
Nov-1949,,..,..,..,..,..,..,95.0 ,95.8 ,12.9 
Dec-1949,,..,..,..,..,..,..,95.3 ,96.0 ,12.9 
Jan-1950,,..,..,..,..,101.1 ,..,95.7 ,96.4 ,13.0 
Feb-1950,,..,..,..,..,101.7 ,..,96.2 ,96.8 ,13.0 
Mar-1950,,..,..,..,..,102.4 ,..,96.9 ,97.4 ,13.1 
Apr-1950,,..,..,..,..,103.5 ,..,97.6 ,98.0 ,13.1 
May-1950,,..,..,..,..,104.5 ,..,98.3 ,98.6 ,13.2 
Jun-1950,,..,..,..,..,105.1 ,..,99.0 ,99.2 ,13.3 
Jul-1950,,..,..,..,..,105.2 ,..,99.7 ,99.7 ,13.3 
Aug-1950,,..,..,..,..,104.5 ,..,100.2 ,100.2 ,13.4 
Sep-1950,,..,..,..,..,103.4 ,..,100.7 ,100.6 ,13.4 
Oct-1950,,..,..,..,..,102.4 ,..,101.0 ,100.9 ,13.5 
Nov-1950,,..,..,..,..,102.4 ,..,101.2 ,101.1 ,13.5 
Dec-1950,,..,..,..,..,102.9 ,..,101.4 ,101.2 ,13.6 
Jan-1951,,..,..,..,..,103.2 ,..,101.5 ,101.3 ,13.7 
Feb-1951,,..,..,..,..,103.1 ,..,101.6 ,101.4 ,13.7 
Mar-1951,,..,..,..,..,102.2 ,..,101.7 ,101.5 ,13.8 
Apr-1951,,..,..,..,..,100.7 ,..,101.9 ,101.6 ,13.8 
May-1951,,..,..,..,..,99.4 ,..,102.0 ,101.7 ,13.9 
Jun-1951,,..,..,..,..,98.4 ,..,102.2 ,101.9 ,13.9 
Jul-1951,,..,..,..,..,97.9 ,..,102.2 ,101.9 ,14.0 
Aug-1951,,..,..,..,..,98.0 ,..,102.3 ,102.0 ,14.1 
Sep-1951,,..,..,..,..,98.5 ,..,102.2 ,101.9 ,14.1 
Oct-1951,,..,..,..,..,98.8 ,..,102.1 ,101.8 ,14.2 
Nov-1951,,..,..,..,..,98.7 ,..,101.9 ,101.7 ,14.2 
Dec-1951,,..,..,..,..,98.4 ,..,101.8 ,101.5 ,14.3 
Jan-1952,,..,..,..,..,98.0 ,..,101.6 ,101.4 ,14.3 
Feb-1952,,..,..,..,..,97.4 ,..,101.4 ,101.2 ,14.4 
Mar-1952,,..,..,..,..,96.9 ,..,101.1 ,101.0 ,14.4 
Apr-1952,,..,..,..,..,96.7 ,..,100.9 ,100.8 ,14.5 
May-1952,,..,..,..,..,97.0 ,..,100.8 ,100.7 ,14.6 
Jun-1952,,..,..,..,..,98.0 ,..,100.7 ,100.7 ,14.6 
Jul-1952,,..,..,..,..,99.2 ,..,100.8 ,100.7 ,14.7 
Aug-1952,,..,..,..,..,100.4 ,..,101.0 ,100.9 ,14.7 
Sep-1952,,..,..,..,..,100.8 ,..,101.4 ,101.2 ,14.8 
Oct-1952,,..,..,..,..,100.9 ,..,101.8 ,101.6 ,14.8 
Nov-1952,,..,..,..,..,100.9 ,..,102.2 ,101.9 ,14.9 
Dec-1952,,..,..,..,..,100.9 ,..,102.6 ,102.3 ,14.9 
Jan-1953,,..,..,..,..,100.8 ,..,103.0 ,102.6 ,15.0 
Feb-1953,,..,..,..,..,100.4 ,..,103.2 ,102.7 ,15.0 
