date,H8B1001NCBCMG,H8B1002NCBCMG,H8B1003NCBCMG,H8B1023NCBCMG,H8B1026NCBCMG,H8B1029NCBCMG,H8B1047NCBCMG,H8B1048NCBCMG,H8B1058NCBCMG,H8B1091NCBCMG,H8B1151NCBCMG,H8B1152NCBCMG,H8B3053NCBCMG,H8B3092NCBCMG,H8B3094NCBCMG,H8B3095NCBCMG,H8B3305NCBCMG,CPIEDUSL,CPIFABSL,CPIHOSSL,CPIOGSSL,CPIRECSL,CPIAPPNS,CPIAUCNS,CPIEDUNS,CPIFABNS,CPIHOSNS,CPIMEDNS,CPIOGSNS,CPIRECNS,CPITRNNS,DFXARG3M086SBEA,DGDSRG3M086SBEA,DNRGRG3M086SBEA,DPCMRG3M086SBEA,DPCXRG3M086SBEA,PCEPILFE,WPSID611,WPSID612,WPSID613,WPSID614,WPSID615,WPSID621,WPSID6221,WPSID6222,WPU03T15M05,WPU057,WPU061,WPU071,WPU081,WPU101,WPU102,WPU114,WPU117,WPU1178,WPU142,HNFSEPUSSA
1950-01-01,10.3,11.2,11.0,7.6,14.7,,,,,,,,,,,,,,,,,,39.700,23.5,,,,15.000,,,22.500,,,,,,,,,,,,,,,,10.5,22.3,,24.3,18.3,21.4,19.0,28.2,,,
1950-02-01,0.7,-7.8,-9.6,15.1,21.8,,,,,,,,,,,,,,,,,,39.700,23.5,,,,15.000,,,22.400,,,,,,,,,,,,,,,,10.5,22.3,,24.9,18.5,21.3,19.1,28.0,,,
1950-03-01,-2.9,-14.5,-18.2,7.5,14.3,,,,,,,,,,,,,,,,,,39.800,23.6,,,,15.000,,,22.400,,,,,,,,,,,,,,,,10.5,22.2,,25.5,18.5,21.2,19.1,28.1,,,
1950-04-01,2.2,-6.8,-11.1,14.8,21.2,,,,,,,,,,,,,,,,,,39.700,23.6,,,,15.000,,,22.300,,,,,,,,,,,,,,,,10.6,22.4,,25.9,18.5,21.4,19.2,28.1,,,
1950-05-01,7.3,2.3,2.5,14.6,13.9,,,,,,,,,,,,,,,,,,39.600,23.7,,,,15.000,,,22.400,,,,,,,,,,,,,,,,10.9,22.4,,27.0,18.7,22.4,19.2,28.1,,,
1950-06-01,6.5,1.1,0.0,7.2,13.7,,,,,,,,,,,,,,,,,,39.600,23.8,,,,15.000,,,22.400,,,,,,,,,,,,,,,,11.1,22.7,,27.6,19.1,23.9,19.2,28.5,,,
1950-07-01,1.4,-10.2,-12.4,35.9,20.3,,,,,,,,,,,,,,,,,,39.600,24.1,,,,15.100,,,22.700,,,,,,,,,,,,,,,,11.3,23.1,,28.4,19.0,24.1,19.5,29.1,,,
1950-08-01,2.9,-8.0,-12.6,41.9,20.0,,,,,,,,,,,,,,,,,,39.900,24.3,,,,15.100,,,22.900,,,,,,,,,,,,,,,,11.6,23.7,,29.6,19.2,24.9,20.0,30.4,,,
1950-09-01,-2.9,-18.4,-24.1,40.4,13.1,,,,,,,,,,,,,,,,,,40.700,24.4,,,,15.200,,,23.000,,,,,,,,,,,,,,,,11.7,24.8,,30.7,19.3,26.4,20.4,30.9,,,
1950-10-01,1.4,-9.3,-10.4,32.6,19.5,,,,,,,,,,,,,,,,,,41.400,24.6,,,,15.300,,,22.900,,,,,,,,,,,,,,,,11.8,26.1,,30.2,19.4,27.9,20.7,31.9,,,
