date,NASDAQCOM,WILL5000IND,WILL5000INDFC,WILL5000PR,WILL5000PRFC,WILLLRGCAP,WILLLRGCAPGR,WILLLRGCAPVAL,WILLMICROCAP,WILLMIDCAP,WILLMIDCAPGR,WILLMIDCAPVAL,WILLREITIND,WILLRESIND,WILLSMLCAP,WILLSMLCAPGR,WILLSMLCAPVAL
1971-02-01,.,1.07,1.07,885.37,885.37,,,,,,,,,,,,
1971-03-01,104.470435,1.12,1.12,923.13,923.13,,,,,,,,,,,,
1971-04-01,109.555238,1.16,1.16,955.25,955.25,,,,,,,,,,,,
1971-05-01,109.570500,1.12,1.12,919.83,919.83,,,,,,,,,,,,
1971-06-01,108.567727,1.13,1.13,921.91,921.91,,,,,,,,,,,,
1971-07-01,109.303333,1.09,1.09,887.90,887.90,,,,,,,,,,,,
1971-08-01,106.513182,1.13,1.13,919.19,919.19,,,,,,,,,,,,
1971-09-01,109.523810,1.12,1.12,914.22,914.22,,,,,,,,,,,,
1971-10-01,108.410000,1.08,1.08,877.33,877.33,,,,,,,,,,,,
1971-11-01,103.585238,1.08,1.08,871.15,871.15,,,,,,,,,,,,
1971-12-01,109.808182,1.18,1.18,949.26,949.26,,,,,,,,,,,,
1972-01-01,116.543333,1.21,1.21,976.73,976.73,,,,,,,,,,,,
1972-02-01,122.664500,1.25,1.25,1005.79,1005.79,,,,,,,,,,,,
1972-03-01,127.548182,1.26,1.26,1013.10,1013.10,,,,,,,,,,,,
1972-04-01,131.814500,1.27,1.27,1019.47,1019.47,,,,,,,,,,,,
1972-05-01,130.496364,1.30,1.30,1033.38,1033.38,,,,,,,,,,,,
1972-06-01,130.979091,1.27,1.27,1010.34,1010.34,,,,,,,,,,,,
1972-07-01,129.182500,1.27,1.27,1006.50,1006.50,,,,,,,,,,,,
1972-08-01,130.618696,1.31,1.31,1037.90,1037.90,,,,,,,,,,,,
1972-09-01,128.284000,1.30,1.30,1028.17,1028.17,,,,,,,,,,,,
1972-10-01,128.395000,1.31,1.31,1036.01,1036.01,,,,,,,,,,,,
1972-11-01,132.674500,1.37,1.37,1080.29,1080.29,,,,,,,,,,,,
1972-12-01,133.312105,1.39,1.39,1090.31,1090.31,,,,,,,,,,,,
1973-01-01,133.529048,1.35,1.35,1059.76,1059.76,,,,,,,,,,,,
1973-02-01,124.496842,1.29,1.29,1010.11,1010.11,,,,,,,,,,,,
1973-03-01,119.582727,1.28,1.28,1001.61,1001.61,,,,,,,,,,,,
1973-04-01,112.950000,1.22,1.22,950.87,950.87,,,,,,,,,,,,
1973-05-01,106.370909,1.19,1.19,923.96,923.96,,,,,,,,,,,,
1973-06-01,101.752857,1.18,1.18,914.85,914.85,,,,,,,,,,,,
1973-07-01,104.686190,1.25,1.25,965.02,965.02,,,,,,,,,,,,
1973-08-01,104.389565,1.21,1.21,931.52,931.52,,,,,,,,,,,,
1973-09-01,107.642632,1.27,1.27,979.04,979.04,,,,,,,,,,,,
1973-10-01,112.357391,1.28,1.28,978.75,978.75,,,,,,,,,,,,
