date,CLI_MA,CLI_N,CLI_T,GDP_RTT,GDP_N,GDP_T,y_nber,y_oecd,y_agg
1973-01-01,103.8,103.4,32.5,102.7,102.4,31.3,0.0,0.0,0.0
1973-02-01,103.7,103.3,32.6,103.1,102.6,31.4,0.0,0.0,0.0
1973-03-01,103.4,103.1,32.6,103.3,102.8,31.5,0.0,0.0,0.0
1973-04-01,103.1,102.8,32.5,103.4,103.0,31.5,0.0,0.0,0.0
1973-05-01,102.7,102.4,32.5,103.4,103.0,31.6,0.0,0.0,0.0
1973-06-01,102.3,102.0,32.4,103.3,102.9,31.7,0.0,1.0,1.0
1973-07-01,101.9,101.7,32.4,103.2,102.7,31.8,0.0,1.0,1.0
1973-08-01,101.6,101.4,32.4,103.0,102.6,31.8,0.0,1.0,1.0
1973-09-01,101.3,101.2,32.3,102.8,102.4,31.9,0.0,1.0,1.0
1973-10-01,101.1,101.0,32.4,102.6,102.3,32.0,0.0,1.0,1.0
1973-11-01,100.9,100.8,32.4,102.4,102.1,32.1,0.0,1.0,1.0
1973-12-01,100.7,100.6,32.4,102.1,101.8,32.1,1.0,1.0,2.0
1974-01-01,100.5,100.4,32.4,101.8,101.6,32.2,1.0,1.0,2.0
1974-02-01,100.2,100.2,32.4,101.5,101.3,32.3,1.0,1.0,2.0
1974-03-01,99.9,99.9,32.3,101.2,101.1,32.4,1.0,1.0,2.0
1974-04-01,99.5,99.6,32.3,100.9,100.8,32.4,1.0,1.0,2.0
1974-05-01,99.1,99.2,32.2,100.5,100.5,32.5,1.0,1.0,2.0
1974-06-01,98.6,98.8,32.1,100.1,100.1,32.6,1.0,1.0,2.0
1974-07-01,98.1,98.3,32.0,99.7,99.8,32.6,1.0,1.0,2.0
1974-08-01,97.5,97.8,31.9,99.2,99.4,32.7,1.0,1.0,2.0
1974-09-01,97.0,97.3,31.8,98.8,99.0,32.8,1.0,1.0,2.0
1974-10-01,96.4,96.8,31.7,98.3,98.6,32.9,1.0,1.0,2.0
1974-11-01,96.0,96.4,31.6,97.8,98.2,32.9,1.0,1.0,2.0
1974-12-01,95.7,96.2,31.6,97.4,97.8,33.0,1.0,1.0,2.0
1975-01-01,95.6,96.1,31.6,97.0,97.5,33.1,1.0,1.0,2.0
1975-02-01,95.7,96.2,31.7,96.7,97.2,33.2,1.0,1.0,2.0
1975-03-01,96.0,96.4,31.9,96.4,97.0,33.3,1.0,1.0,2.0
1975-04-01,96.4,96.8,32.1,96.4,96.9,33.3,0.0,1.0,1.0
1975-05-01,96.9,97.2,32.4,96.4,97.0,33.4,0.0,0.0,0.0
1975-06-01,97.4,97.7,32.6,96.5,97.1,33.5,0.0,0.0,0.0
1975-07-01,97.9,98.1,32.9,96.7,97.3,33.6,0.0,0.0,0.0
1975-08-01,98.3,98.5,33.1,97.0,97.5,33.7,0.0,0.0,0.0
1975-09-01,98.8,98.9,33.3,97.3,97.7,33.8,0.0,0.0,0.0
1975-10-01,99.2,99.3,33.6,97.6,98.0,33.8,0.0,0.0,0.0
1975-11-01,99.6,99.6,33.8,97.9,98.2,33.9,0.0,0.0,0.0
1975-12-01,100.0,100.0,34.0,98.2,98.5,34.0,0.0,0.0,0.0
1976-01-01,100.4,100.3,34.2,98.5,98.8,34.1,0.0,0.0,0.0
1976-02-01,100.7,100.6,34.4,98.7,99.0,34.2,0.0,0.0,0.0
1976-03-01,100.9,100.8,34.6,98.9,99.1,34.3,0.0,0.0,0.0
1976-04-01,101.1,100.9,34.7,99.0,99.2,34.4,0.0,0.0,0.0
1976-05-01,101.1,101.0,34.9,99.0,99.2,34.5,0.0,0.0,0.0
1976-06-01,101.1,101.0,35.0,98.9,99.1,34.6,0.0,0.0,0.0
1976-07-01,101.1,101.0,35.0,98.9,99.1,34.7,0.0,0.0,0.0
1976-08-01,101.1,101.0,35.1,98.8,99.0,34.8,0.0,0.0,0.0
1976-09-01,101.1,100.9,35.2,98.7,99.0,34.9,0.0,0.0,0.0
1976-10-01,101.1,101.0,35.3,98.7,98.9,35.0,0.0,0.0,0.0
1976-11-01,101.2,101.1,35.5,98.7,99.0,35.1,0.0,0.0,0.0
1976-12-01,101.3,101.2,35.6,98.8,99.0,35.2,0.0,0.0,0.0
1977-01-01,101.5,101.4,35.8,99.0,99.2,35.2,0.0,0.0,0.0
1977-02-01,101.7,101.5,36.0,99.2,99.3,35.3,0.0,0.0,0.0
1977-03-01,101.9,101.7,36.1,99.4,99.6,35.4,0.0,0.0,0.0
1977-04-01,102.0,101.8,36.3,99.7,99.8,35.5,0.0,0.0,0.0
1977-05-01,102.0,101.8,36.4,100.0,100.0,35.6,0.0,0.0,0.0
1977-06-01,102.0,101.8,36.5,100.2,100.2,35.7,0.0,0.0,0.0
1977-07-01,102.0,101.7,36.6,100.4,100.4,35.8,0.0,0.0,0.0
1977-08-01,101.9,101.7,36.6,100.5,100.4,35.9,0.0,0.0,0.0
1977-09-01,101.8,101.6,36.7,100.5,100.4,36.0,0.0,0.0,0.0
1977-10-01,101.7,101.5,36.8,100.4,100.4,36.1,0.0,0.0,0.0
1977-11-01,101.6,101.5,36.8,100.3,100.3,36.2,0.0,0.0,0.0
1977-12-01,101.6,101.4,36.9,100.3,100.3,36.3,0.0,0.0,0.0
1978-01-01,101.6,101.4,37.0,100.4,100.4,36.4,0.0,0.0,0.0
1978-02-01,101.6,101.5,37.1,100.7,100.6,36.5,0.0,0.0,0.0
1978-03-01,101.8,101.6,37.3,101.0,100.9,36.6,0.0,0.0,0.0
1978-04-01,101.9,101.7,37.4,101.5,101.3,36.7,0.0,0.0,0.0
1978-05-01,102.1,101.9,37.6,102.0,101.7,36.8,0.0,0.0,0.0
1978-06-01,102.2,102.0,37.7,102.4,102.1,36.9,0.0,0.0,0.0
1978-07-01,102.3,102.0,37.8,102.8,102.4,37.0,0.0,0.0,0.0
1978-08-01,102.3,102.0,37.9,103.1,102.6,37.1,0.0,0.0,0.0
1978-09-01,102.2,101.9,38.0,103.3,102.8,37.2,0.0,0.0,0.0
1978-10-01,102.0,101.8,38.0,103.4,102.9,37.3,0.0,0.0,0.0
1978-11-01,101.8,101.6,38.0,103.4,102.9,37.4,0.0,0.0,0.0
1978-12-01,101.6,101.4,38.1,103.4,102.9,37.5,0.0,1.0,1.0
1979-01-01,101.4,101.3,38.1,103.3,102.8,37.5,0.0,1.0,1.0
1979-02-01,101.3,101.1,38.1,103.1,102.7,37.6,0.0,1.0,1.0
1979-03-01,101.1,100.9,38.1,103.0,102.6,37.7,0.0,1.0,1.0
1979-04-01,100.8,100.7,38.1,102.9,102.5,37.8,0.0,1.0,1.0
1979-05-01,100.5,100.5,38.1,102.8,102.4,37.9,0.0,1.0,1.0
1979-06-01,100.3,100.2,38.1,102.7,102.3,37.9,0.0,1.0,1.0
1979-07-01,100.0,100.0,38.0,102.7,102.3,38.0,0.0,1.0,1.0
1979-08-01,99.8,99.8,38.0,102.6,102.3,38.1,0.0,1.0,1.0
1979-09-01,99.5,99.6,38.0,102.6,102.2,38.2,0.0,1.0,1.0
1979-10-01,99.2,99.3,38.0,102.5,102.1,38.3,0.0,1.0,1.0
1979-11-01,99.0,99.1,37.9,102.3,102.0,38.3,0.0,1.0,1.0
1979-12-01,98.7,98.8,37.9,102.1,101.8,38.4,0.0,1.0,1.0
1980-01-01,98.4,98.6,37.8,101.8,101.6,38.5,0.0,1.0,1.0
1980-02-01,98.1,98.3,37.8,101.4,101.2,38.5,1.0,1.0,2.0
1980-03-01,97.7,98.0,37.7,100.9,100.8,38.6,1.0,1.0,2.0
1980-04-01,97.6,97.8,37.7,100.4,100.4,38.7,1.0,1.0,2.0
1980-05-01,97.6,97.9,37.8,99.9,100.0,38.7,1.0,1.0,2.0
1980-06-01,98.0,98.2,38.0,99.6,99.7,38.8,1.0,1.0,2.0
1980-07-01,98.5,98.7,38.3,99.4,99.5,38.9,1.0,1.0,2.0
1980-08-01,99.1,99.2,38.6,99.4,99.5,38.9,0.0,1.0,1.0
1980-09-01,99.6,99.6,38.9,99.5,99.6,39.0,0.0,1.0,1.0
1980-10-01,99.9,99.9,39.0,99.8,99.8,39.1,0.0,1.0,1.0
1980-11-01,100.0,100.0,39.2,100.1,100.1,39.2,0.0,1.0,1.0
1980-12-01,100.0,100.0,39.2,100.4,100.4,39.2,0.0,1.0,1.0
1981-01-01,99.9,99.9,39.3,100.7,100.6,39.3,0.0,1.0,1.0
1981-02-01,99.8,99.8,39.3,100.9,100.8,39.4,0.0,1.0,1.0
1981-03-01,99.7,99.7,39.3,100.9,100.8,39.4,0.0,1.0,1.0
1981-04-01,99.5,99.6,39.3,100.9,100.8,39.5,0.0,1.0,1.0
1981-05-01,99.3,99.4,39.3,100.8,100.8,39.6,0.0,1.0,1.0
1981-06-01,99.0,99.1,39.3,100.8,100.7,39.6,0.0,1.0,1.0
1981-07-01,98.8,98.9,39.2,100.6,100.6,39.7,0.0,1.0,1.0
1981-08-01,98.5,98.7,39.2,100.4,100.4,39.8,1.0,1.0,2.0
1981-09-01,98.2,98.4,39.1,100.1,100.1,39.9,1.0,1.0,2.0
1981-10-01,97.9,98.1,39.1,99.7,99.8,39.9,1.0,1.0,2.0
1981-11-01,97.5,97.8,39.0,99.2,99.3,40.0,1.0,1.0,2.0
1981-12-01,97.3,97.6,39.0,98.6,98.9,40.1,1.0,1.0,2.0
1982-01-01,97.0,97.3,39.0,98.1,98.4,40.2,1.0,1.0,2.0
1982-02-01,96.7,97.1,38.9,97.7,98.1,40.2,1.0,1.0,2.0
1982-03-01,96.5,96.9,38.9,97.3,97.7,40.3,1.0,1.0,2.0
1982-04-01,96.3,96.7,38.9,97.0,97.5,40.4,1.0,1.0,2.0
1982-05-01,96.2,96.6,39.0,96.7,97.2,40.5,1.0,1.0,2.0
1982-06-01,96.2,96.6,39.1,96.4,97.0,40.6,1.0,1.0,2.0
1982-07-01,96.3,96.7,39.2,96.2,96.8,40.7,1.0,1.0,2.0
1982-08-01,96.5,96.9,39.4,95.9,96.6,40.8,1.0,1.0,2.0
1982-09-01,96.8,97.1,39.6,95.7,96.4,40.9,1.0,1.0,2.0
1982-10-01,97.1,97.4,39.8,95.6,96.3,41.0,1.0,1.0,2.0
1982-11-01,97.5,97.8,40.0,95.5,96.2,41.1,1.0,1.0,2.0
1982-12-01,98.0,98.2,40.3,95.6,96.3,41.2,0.0,0.0,0.0
1983-01-01,98.5,98.7,40.7,95.7,96.4,41.3,0.0,0.0,0.0
1983-02-01,99.2,99.3,41.1,95.9,96.6,41.4,0.0,0.0,0.0
1983-03-01,99.8,99.8,41.4,96.3,96.9,41.5,0.0,0.0,0.0
1983-04-01,100.4,100.4,41.8,96.6,97.2,41.6,0.0,0.0,0.0
1983-05-01,101.0,100.9,42.2,97.0,97.5,41.7,0.0,0.0,0.0
1983-06-01,101.5,101.3,42.5,97.4,97.9,41.9,0.0,0.0,0.0
1983-07-01,101.9,101.7,42.8,97.9,98.2,42.0,0.0,0.0,0.0
1983-08-01,102.2,101.9,43.0,98.3,98.6,42.1,0.0,0.0,0.0
1983-09-01,102.4,102.1,43.2,98.6,98.9,42.2,0.0,0.0,0.0
1983-10-01,102.5,102.2,43.4,99.0,99.2,42.4,0.0,0.0,0.0
1983-11-01,102.6,102.3,43.6,99.4,99.5,42.5,0.0,0.0,0.0
1983-12-01,102.6,102.3,43.7,99.7,99.8,42.6,0.0,0.0,0.0
1984-01-01,102.6,102.3,43.9,100.1,100.1,42.8,0.0,0.0,0.0
1984-02-01,102.5,102.2,44.0,100.4,100.3,42.9,0.0,0.0,0.0
1984-03-01,102.3,102.0,44.0,100.6,100.6,43.0,0.0,0.0,0.0
1984-04-01,102.0,101.8,44.0,100.8,100.7,43.2,0.0,0.0,0.0
1984-05-01,101.7,101.5,44.1,101.0,100.9,43.3,0.0,0.0,0.0
1984-06-01,101.4,101.3,44.1,101.1,100.9,43.5,0.0,0.0,0.0
1984-07-01,101.1,101.0,44.1,101.1,101.0,43.6,0.0,0.0,0.0
1984-08-01,100.9,100.8,44.1,101.1,101.0,43.7,0.0,1.0,1.0
1984-09-01,100.7,100.6,44.2,101.1,100.9,43.9,0.0,1.0,1.0
1984-10-01,100.5,100.5,44.3,101.0,100.9,44.0,0.0,1.0,1.0
1984-11-01,100.4,100.4,44.4,101.0,100.8,44.2,0.0,1.0,1.0
1984-12-01,100.4,100.3,44.5,100.9,100.8,44.3,0.0,1.0,1.0
1985-01-01,100.3,100.3,44.6,100.9,100.8,44.5,0.0,1.0,1.0
1985-02-01,100.2,100.2,44.7,100.8,100.8,44.6,0.0,1.0,1.0
1985-03-01,100.2,100.2,44.9,100.8,100.7,44.8,0.0,1.0,1.0
1985-04-01,100.2,100.1,45.0,100.9,100.8,44.9,0.0,1.0,1.0
1985-05-01,100.1,100.1,45.2,100.9,100.8,45.1,0.0,1.0,1.0
1985-06-01,100.1,100.1,45.3,100.9,100.8,45.2,0.0,1.0,1.0
1985-07-01,100.1,100.1,45.4,101.0,100.9,45.4,0.0,1.0,1.0
1985-08-01,100.0,100.0,45.6,101.0,100.9,45.5,0.0,1.0,1.0
1985-09-01,100.0,100.0,45.7,101.1,100.9,45.7,0.0,1.0,1.0
1985-10-01,100.0,100.0,45.9,101.1,100.9,45.9,0.0,1.0,1.0
1985-11-01,100.0,100.0,46.0,101.0,100.9,46.0,0.0,1.0,1.0
1985-12-01,100.1,100.1,46.2,101.0,100.9,46.2,0.0,1.0,1.0
1986-01-01,100.1,100.1,46.4,100.9,100.8,46.3,0.0,1.0,1.0
1986-02-01,100.1,100.1,46.5,100.8,100.7,46.5,0.0,1.0,1.0
1986-03-01,100.1,100.1,46.7,100.7,100.6,46.6,0.0,1.0,1.0
1986-04-01,100.1,100.1,46.8,100.6,100.5,46.8,0.0,1.0,1.0
1986-05-01,100.1,100.1,47.0,100.5,100.5,46.9,0.0,1.0,1.0
1986-06-01,100.0,100.0,47.1,100.4,100.4,47.1,0.0,1.0,1.0
1986-07-01,100.0,100.0,47.2,100.3,100.3,47.2,0.0,1.0,1.0
1986-08-01,99.9,99.9,47.3,100.2,100.2,47.4,0.0,1.0,1.0
1986-09-01,99.9,99.9,47.5,100.1,100.2,47.5,0.0,1.0,1.0
1986-10-01,99.8,99.9,47.6,100.1,100.1,47.7,0.0,1.0,1.0
1986-11-01,99.9,99.9,47.8,100.0,100.0,47.8,0.0,1.0,1.0
1986-12-01,99.9,99.9,48.0,99.9,99.9,48.0,0.0,1.0,1.0
1987-01-01,100.1,100.1,48.2,99.8,99.9,48.1,0.0,1.0,1.0
1987-02-01,100.3,100.3,48.4,99.8,99.9,48.3,0.0,1.0,1.0
1987-03-01,100.5,100.5,48.7,99.8,99.9,48.4,0.0,1.0,1.0
1987-04-01,100.7,100.6,48.9,99.8,99.9,48.6,0.0,0.0,0.0
1987-05-01,100.9,100.8,49.2,99.8,99.9,48.7,0.0,0.0,0.0
1987-06-01,101.0,100.9,49.4,99.9,99.9,48.9,0.0,0.0,0.0
1987-07-01,101.1,100.9,49.5,100.0,100.0,49.0,0.0,0.0,0.0
1987-08-01,101.0,100.9,49.7,100.1,100.1,49.2,0.0,0.0,0.0
1987-09-01,100.9,100.8,49.7,100.2,100.2,49.3,0.0,0.0,0.0
1987-10-01,100.7,100.6,49.8,100.3,100.3,49.5,0.0,0.0,0.0
1987-11-01,100.5,100.4,49.8,100.4,100.4,49.6,0.0,0.0,0.0
1987-12-01,100.4,100.3,49.9,100.5,100.4,49.7,0.0,0.0,0.0
1988-01-01,100.3,100.3,50.0,100.5,100.5,49.9,0.0,0.0,0.0
1988-02-01,100.3,100.3,50.2,100.6,100.5,50.0,0.0,0.0,0.0
1988-03-01,100.3,100.3,50.3,100.6,100.6,50.2,0.0,0.0,0.0
1988-04-01,100.4,100.4,50.5,100.7,100.6,50.3,0.0,0.0,0.0
1988-05-01,100.5,100.4,50.7,100.7,100.6,50.4,0.0,0.0,0.0
1988-06-01,100.5,100.5,50.8,100.7,100.7,50.6,0.0,0.0,0.0
1988-07-01,100.6,100.5,51.0,100.8,100.7,50.7,0.0,0.0,0.0
1988-08-01,100.6,100.5,51.1,100.9,100.8,50.8,0.0,0.0,0.0
1988-09-01,100.6,100.5,51.3,100.9,100.8,51.0,0.0,0.0,0.0
1988-10-01,100.6,100.5,51.4,101.1,100.9,51.1,0.0,0.0,0.0
1988-11-01,100.6,100.5,51.5,101.2,101.0,51.2,0.0,0.0,0.0
1988-12-01,100.6,100.5,51.6,101.3,101.1,51.3,0.0,0.0,0.0
1989-01-01,100.5,100.5,51.7,101.4,101.2,51.5,0.0,0.0,0.0
1989-02-01,100.4,100.4,51.8,101.5,101.3,51.6,0.0,0.0,0.0
1989-03-01,100.3,100.2,51.8,101.5,101.3,51.7,0.0,0.0,0.0
1989-04-01,100.1,100.1,51.9,101.6,101.4,51.8,0.0,0.0,0.0
1989-05-01,99.9,99.9,51.9,101.6,101.4,51.9,0.0,0.0,0.0
1989-06-01,99.8,99.8,52.0,101.6,101.4,52.1,0.0,0.0,0.0
1989-07-01,99.7,99.7,52.0,101.6,101.4,52.2,0.0,1.0,1.0
1989-08-01,99.7,99.7,52.1,101.6,101.4,52.3,0.0,1.0,1.0
1989-09-01,99.7,99.7,52.2,101.5,101.3,52.4,0.0,1.0,1.0
1989-10-01,99.7,99.7,52.4,101.5,101.3,52.5,0.0,1.0,1.0
1989-11-01,99.7,99.8,52.5,101.5,101.3,52.6,0.0,1.0,1.0
1989-12-01,99.8,99.8,52.6,101.5,101.3,52.7,0.0,1.0,1.0
1990-01-01,99.8,99.8,52.7,101.5,101.3,52.8,0.0,1.0,1.0
1990-02-01,99.8,99.8,52.9,101.6,101.4,53.0,0.0,1.0,1.0
1990-03-01,99.8,99.8,53.0,101.6,101.4,53.1,0.0,1.0,1.0
1990-04-01,99.7,99.8,53.0,101.5,101.3,53.2,0.0,1.0,1.0
1990-05-01,99.6,99.6,53.0,101.4,101.2,53.3,0.0,1.0,1.0
1990-06-01,99.3,99.4,53.0,101.2,101.1,53.4,0.0,1.0,1.0
1990-07-01,98.9,99.0,52.9,101.0,100.9,53.5,0.0,1.0,1.0
1990-08-01,98.4,98.6,52.7,100.7,100.6,53.6,1.0,1.0,2.0
1990-09-01,97.9,98.1,52.6,100.3,100.3,53.7,1.0,1.0,2.0
1990-10-01,97.5,97.8,52.4,99.9,100.0,53.8,1.0,1.0,2.0
1990-11-01,97.2,97.5,52.4,99.5,99.7,53.9,1.0,1.0,2.0
1990-12-01,97.1,97.4,52.4,99.2,99.4,54.0,1.0,1.0,2.0
1991-01-01,97.1,97.4,52.5,98.9,99.1,54.1,1.0,1.0,2.0
1991-02-01,97.4,97.6,52.8,98.7,98.9,54.2,1.0,1.0,2.0
1991-03-01,97.7,97.9,53.0,98.6,98.8,54.3,1.0,1.0,2.0
1991-04-01,98.1,98.3,53.4,98.5,98.8,54.4,0.0,1.0,1.0
1991-05-01,98.4,98.6,53.7,98.5,98.7,54.5,0.0,1.0,1.0
1991-06-01,98.8,98.9,53.9,98.4,98.7,54.6,0.0,1.0,1.0
1991-07-01,99.0,99.1,54.2,98.4,98.7,54.7,0.0,1.0,1.0
1991-08-01,99.2,99.3,54.4,98.4,98.7,54.8,0.0,1.0,1.0
1991-09-01,99.2,99.3,54.5,98.4,98.7,54.9,0.0,1.0,1.0
1991-10-01,99.1,99.2,54.6,98.4,98.7,55.1,0.0,0.0,0.0
1991-11-01,99.1,99.2,54.6,98.5,98.7,55.2,0.0,0.0,0.0
1991-12-01,99.0,99.1,54.7,98.6,98.8,55.3,0.0,0.0,0.0
1992-01-01,99.1,99.2,54.9,98.7,98.9,55.4,0.0,0.0,0.0
1992-02-01,99.2,99.3,55.1,98.8,99.0,55.5,0.0,0.0,0.0
1992-03-01,99.4,99.4,55.3,99.0,99.2,55.6,0.0,0.0,0.0
1992-04-01,99.5,99.6,55.5,99.1,99.3,55.7,0.0,0.0,0.0
1992-05-01,99.6,99.7,55.6,99.3,99.4,55.9,0.0,0.0,0.0
1992-06-01,99.7,99.7,55.8,99.4,99.5,56.0,0.0,0.0,0.0
1992-07-01,99.7,99.7,55.9,99.5,99.7,56.1,0.0,0.0,0.0
1992-08-01,99.6,99.7,56.0,99.7,99.7,56.2,0.0,0.0,0.0
1992-09-01,99.7,99.7,56.2,99.7,99.8,56.3,0.0,0.0,0.0
1992-10-01,99.8,99.8,56.3,99.8,99.9,56.5,0.0,0.0,0.0
1992-11-01,99.9,99.9,56.6,99.8,99.9,56.6,0.0,0.0,0.0
1992-12-01,100.1,100.1,56.8,99.7,99.8,56.7,0.0,0.0,0.0
1993-01-01,100.1,100.1,56.9,99.7,99.8,56.9,0.0,0.0,0.0
1993-02-01,100.1,100.1,57.1,99.6,99.7,57.0,0.0,0.0,0.0
1993-03-01,100.0,100.0,57.1,99.5,99.6,57.1,0.0,0.0,0.0
1993-04-01,99.9,99.9,57.2,99.4,99.5,57.3,0.0,0.0,0.0
1993-05-01,99.7,99.8,57.2,99.3,99.5,57.4,0.0,0.0,0.0
1993-06-01,99.6,99.6,57.3,99.3,99.4,57.5,0.0,0.0,0.0
1993-07-01,99.5,99.6,57.4,99.2,99.4,57.7,0.0,0.0,0.0
1993-08-01,99.5,99.6,57.5,99.3,99.4,57.8,0.0,0.0,0.0
1993-09-01,99.6,99.7,57.7,99.3,99.5,58.0,0.0,0.0,0.0
1993-10-01,99.8,99.8,58.0,99.4,99.6,58.1,0.0,0.0,0.0
1993-11-01,100.1,100.1,58.3,99.6,99.7,58.3,0.0,0.0,0.0
1993-12-01,100.3,100.3,58.6,99.7,99.8,58.4,0.0,0.0,0.0
1994-01-01,100.6,100.5,58.9,99.8,99.9,58.6,0.0,0.0,0.0
1994-02-01,100.8,100.7,59.2,99.9,100.0,58.7,0.0,0.0,0.0
1994-03-01,100.9,100.8,59.4,100.1,100.1,58.9,0.0,0.0,0.0
1994-04-01,101.0,100.9,59.6,100.2,100.2,59.0,0.0,0.0,0.0
1994-05-01,101.1,101.0,59.8,100.2,100.2,59.2,0.0,0.0,0.0
1994-06-01,101.1,101.0,60.0,100.3,100.3,59.3,0.0,0.0,0.0
1994-07-01,101.0,100.9,60.1,100.3,100.3,59.5,0.0,0.0,0.0
1994-08-01,101.0,100.9,60.3,100.3,100.3,59.7,0.0,0.0,0.0
1994-09-01,100.9,100.8,60.4,100.3,100.3,59.8,0.0,0.0,0.0
1994-10-01,100.8,100.7,60.5,100.3,100.3,60.0,0.0,1.0,1.0
1994-11-01,100.7,100.6,60.6,100.3,100.3,60.2,0.0,1.0,1.0
1994-12-01,100.5,100.4,60.6,100.2,100.2,60.3,0.0,1.0,1.0
1995-01-01,100.2,100.2,60.7,100.1,100.1,60.5,0.0,1.0,1.0
1995-02-01,99.9,99.9,60.6,99.9,100.0,60.7,0.0,1.0,1.0
1995-03-01,99.6,99.6,60.6,99.8,99.9,60.9,0.0,1.0,1.0
1995-04-01,99.2,99.3,60.6,99.6,99.7,61.1,0.0,1.0,1.0
1995-05-01,99.0,99.1,60.6,99.5,99.6,61.2,0.0,1.0,1.0
1995-06-01,98.8,98.9,60.7,99.4,99.5,61.4,0.0,1.0,1.0
1995-07-01,98.7,98.9,60.8,99.3,99.5,61.6,0.0,1.0,1.0
1995-08-01,98.6,98.8,61.0,99.2,99.4,61.8,0.0,1.0,1.0
1995-09-01,98.6,98.7,61.1,99.2,99.3,62.0,0.0,1.0,1.0
1995-10-01,98.5,98.7,61.3,99.1,99.3,62.2,0.0,1.0,1.0
1995-11-01,98.5,98.7,61.4,99.1,99.2,62.4,0.0,1.0,1.0
1995-12-01,98.5,98.7,61.6,99.0,99.2,62.6,0.0,1.0,1.0
1996-01-01,98.6,98.8,61.9,99.1,99.2,62.8,0.0,0.0,0.0
1996-02-01,98.7,98.9,62.2,99.1,99.3,62.9,0.0,0.0,0.0
1996-03-01,98.9,99.0,62.5,99.2,99.3,63.1,0.0,0.0,0.0
1996-04-01,99.1,99.2,62.8,99.3,99.4,63.3,0.0,0.0,0.0
1996-05-01,99.2,99.3,63.1,99.4,99.5,63.6,0.0,0.0,0.0
1996-06-01,99.4,99.5,63.4,99.4,99.6,63.8,0.0,0.0,0.0
1996-07-01,99.5,99.5,63.6,99.5,99.6,64.0,0.0,0.0,0.0
1996-08-01,99.6,99.6,63.9,99.5,99.6,64.2,0.0,0.0,0.0
1996-09-01,99.6,99.7,64.1,99.5,99.6,64.4,0.0,0.0,0.0
1996-10-01,99.7,99.7,64.4,99.5,99.6,64.6,0.0,0.0,0.0
1996-11-01,99.8,99.8,64.7,99.5,99.6,64.8,0.0,0.0,0.0
1996-12-01,99.9,99.9,64.9,99.4,99.6,65.0,0.0,0.0,0.0
1997-01-01,100.0,100.0,65.2,99.4,99.6,65.2,0.0,0.0,0.0
1997-02-01,100.1,100.1,65.5,99.5,99.6,65.5,0.0,0.0,0.0
1997-03-01,100.3,100.2,65.8,99.5,99.6,65.7,0.0,0.0,0.0
1997-04-01,100.4,100.3,66.1,99.6,99.7,65.9,0.0,0.0,0.0
1997-05-01,100.5,100.5,66.5,99.8,99.8,66.1,0.0,0.0,0.0
1997-06-01,100.7,100.6,66.8,99.9,99.9,66.3,0.0,0.0,0.0
1997-07-01,100.8,100.7,67.1,99.9,100.0,66.5,0.0,0.0,0.0
1997-08-01,100.9,100.8,67.4,100.0,100.0,66.8,0.0,0.0,0.0
1997-09-01,100.9,100.8,67.6,100.0,100.0,67.0,0.0,0.0,0.0
1997-10-01,101.0,100.9,67.9,100.0,100.0,67.2,0.0,0.0,0.0
1997-11-01,101.0,100.9,68.1,100.0,100.0,67.4,0.0,0.0,0.0
1997-12-01,100.9,100.8,68.3,100.0,100.0,67.7,0.0,0.0,0.0
1998-01-01,100.9,100.8,68.5,99.9,100.0,67.9,0.0,0.0,0.0
1998-02-01,100.8,100.7,68.7,99.9,100.0,68.1,0.0,0.0,0.0
1998-03-01,100.7,100.6,68.8,99.9,100.0,68.3,0.0,0.0,0.0
1998-04-01,100.6,100.5,69.0,99.9,100.0,68.6,0.0,0.0,0.0
